year,date,event,source_url
1900,,"Max Planck formulates Planck's law of black-body radiation, marking the birth of modern quantum mechanics, which would revolutionize humanity's understanding of the universe, leading to groundbreaking discoveries in technology, energy, and the fabric of reality itself",https://en.wikipedia.org/wiki/AD_1900
1900,,"Botanist Hugo de Vries would rediscover Mendel's laws of heredity, laying the foundation for the field of genetics.",https://en.wikipedia.org/wiki/AD_1900
1900,,"The ABO blood group system, which becomes fundamental in transfusion medicine is discovered by Karl Landsteiner, saving countless of lives across the globe.",https://en.wikipedia.org/wiki/AD_1900
1900,,"Gamma Rays are discovered by French physicist Paul Villard, while studying uranium decay, unveiling the mystery of the universe's most powerful phenomena, marking an important advancement in nuclear physics.",https://en.wikipedia.org/wiki/AD_1900
1900,,18th century,https://en.wikipedia.org/wiki/AD_1900
1900,,19th century,https://en.wikipedia.org/wiki/AD_1900
1900,,20th century,https://en.wikipedia.org/wiki/AD_1900
1900,,1880s,https://en.wikipedia.org/wiki/AD_1900
1900,,1890s,https://en.wikipedia.org/wiki/AD_1900
1900,,1900s,https://en.wikipedia.org/wiki/AD_1900
1900,,1910s,https://en.wikipedia.org/wiki/AD_1900
1900,,1920s,https://en.wikipedia.org/wiki/AD_1900
1900,,1897,https://en.wikipedia.org/wiki/AD_1900
1900,,1898,https://en.wikipedia.org/wiki/AD_1900
1900,,1899,https://en.wikipedia.org/wiki/AD_1900
1900,,1900,https://en.wikipedia.org/wiki/AD_1900
1900,,1901,https://en.wikipedia.org/wiki/AD_1900
1900,,1902,https://en.wikipedia.org/wiki/AD_1900
1900,,1903,https://en.wikipedia.org/wiki/AD_1900
1902,1902 January 1,"The Nurses Registration Act 1901 comes into effect in New Zealand, making it the first country in the world to require state registration of nurses. On January 10, Ellen Dougherty becomes the world's first registered nurse.",https://en.wikipedia.org/wiki/AD_1902
1902,,Nathan Stubblefield demonstrates his wireless telephone device in the U.S. state of Kentucky.,https://en.wikipedia.org/wiki/AD_1902
1902,January 8,"A train collision in the New York Central Railroad's Park Avenue Tunnel kills 17 people, injures 38, and leads to increased demand for electric trains and the banning of steam locomotives in New York City.",https://en.wikipedia.org/wiki/AD_1902
1902,January 23,"Hakkōda Mountains incident: A snowstorm in the Hakkōda Mountains of northern Honshu, Japan, kills 199 during a military training exercise.",https://en.wikipedia.org/wiki/AD_1902
1902,January 30,The Anglo-Japanese Alliance is signed.,https://en.wikipedia.org/wiki/AD_1902
1902,February 12,"The 1st Conference of the International Woman Suffrage Alliance takes place in Washington, D.C..",https://en.wikipedia.org/wiki/AD_1902
1902,February 15,The Berlin U-Bahn underground is opened.,https://en.wikipedia.org/wiki/AD_1902
1902,February 18,U.S. President Theodore Roosevelt prosecutes the Northern Securities Company for violation of the antitrust Sherman Act.,https://en.wikipedia.org/wiki/AD_1902
1902,February 27,Australian officers Breaker Morant and Peter Handcock are executed for the murder of Boer prisoners of war near Louis Trichardt.,https://en.wikipedia.org/wiki/AD_1902
1902,March 7,"Second Boer War: Battle of Tweebosch – South African Boers win their last battle over the British Army, with the capture of a British general and 200 of his men.",https://en.wikipedia.org/wiki/AD_1902
1902,March 8,Jean Sibelius's Symphony No. 2 is premiered in Helsinki.,https://en.wikipedia.org/wiki/AD_1902
1902,1902 March 10,"Clashes between police and Georgian workers led by Joseph Stalin leave 15 dead, 54 wounded, and 500 in prison.",https://en.wikipedia.org/wiki/AD_1902
1902,,A Circuit Court decision in the United States ends Thomas Edison's monopoly on 35 mm movie film technology.,https://en.wikipedia.org/wiki/AD_1902
1902,March 15,The Pattani Sultanate is abolished by the Siamese authority after the last sultan of Pattani refused new administrative reforms by the Siamese.,https://en.wikipedia.org/wiki/AD_1902
1902,April 2,"The Electric Theatre, the first movie theater in the United States, opens in Los Angeles.",https://en.wikipedia.org/wiki/AD_1902
1902,April 11,"Tenor Enrico Caruso makes the first million-selling recording, for the Gramophone Company in Milan.",https://en.wikipedia.org/wiki/AD_1902
1902,April 13,"A new land speed record of 74 mph (119 km/h) is set in Nice, France, by Léon Serpollet driving a steam car.",https://en.wikipedia.org/wiki/AD_1902
1902,April 19,"The 7.5 Mw  Guatemala earthquake shakes Guatemala with a maximum Mercalli intensity of VIII (Severe), killing between 800 and 2,000.",https://en.wikipedia.org/wiki/AD_1902
1902,May 7,"La Soufrière volcano on the Caribbean island of Saint Vincent erupts, devastating the northern portion of the island and killing 2,000 people",https://en.wikipedia.org/wiki/AD_1902
1902,May 8,"Mount Pelée in Martinique erupts, destroying the town of Saint-Pierre and killing over 30,000.",https://en.wikipedia.org/wiki/AD_1902
1902,May 13,Alfonso XIII of Spain begins his reign.,https://en.wikipedia.org/wiki/AD_1902
1902,May 20,Cuba gains independence from the United States.,https://en.wikipedia.org/wiki/AD_1902
1902,May 22,The White Star Liner SS Ionic is launched by Harland and Wolff in Belfast.,https://en.wikipedia.org/wiki/AD_1902
1902,May 29,The London School of Economics is opened by Lord Rosebery.,https://en.wikipedia.org/wiki/AD_1902
1902,May 31,The Treaty of Vereeniging ends the Second Boer War.,https://en.wikipedia.org/wiki/AD_1902
1902,June 13,"Minnesota Mining and Manufacturing, predecessor of global consumer goods brand 3M, begins trading as a mining venture at Two Harbors in the United States.",https://en.wikipedia.org/wiki/AD_1902
1902,June 15,The New York Central Railroad inaugurates the 20th Century Limited passenger train between Chicago and New York City.,https://en.wikipedia.org/wiki/AD_1902
1902,June 16,"The Commonwealth Franchise Act in Australia grants women's suffrage in federal elections for resident British subjects (with certain ethnic minorities excepted), making Australia the first independent country to grant women the vote at a national level, and the first country to allow them to stand for Parliament.",https://en.wikipedia.org/wiki/AD_1902
1902,June 26,"Edward VII institutes the Order of Merit, an order bestowed personally by the British monarch on up to 24 distinguished Empire recipients.",https://en.wikipedia.org/wiki/AD_1902
1902,July,James Stevenson-Hamilton is appointed warden of the Sabie Game Reserve in South Africa.,https://en.wikipedia.org/wiki/AD_1902
1902,July 2,Philippine–American War ends.,https://en.wikipedia.org/wiki/AD_1902
1902,July 5,Erik Gustaf Boström returns as Prime Minister of Sweden.,https://en.wikipedia.org/wiki/AD_1902
